Id Sankce,ID kontroly,Vyse pokuty,Zakon
100208,211508120151201,1000,zak. 634/1992
100210,221508120016901,2000,zak. 634/1992
100217,211508120154001,1000,zak. 634/1992
100219,211508130154201,1000,zak. 634/1992
100221,401508130558101,1000,zak. 634/1992
100222,221508120020901,2000,zak. 634/1992
100224,271508100018302,500,zak. 634/1992
100226,101508130958201,1000,zak. 634/1992
100228,101508130912701,1000,zak. 634/1992
100230,221508130250201,1000,zak. 64/1986
100232,271508130043003,1000,zak. 634/1992
100234,221508130253401,1000,zak. 634/1992
100236,221508130253402,1000,zak. 102/2001
100238,301508130702101,2000,zak. 634/1992
100240,211508130103501,1000,zak. 634/1992
100242,251508130007601,2000,zak. 634/1992
100243,241503050405301,10000,zak. 634/1992
100245,101508130009502,2000,zak. 634/1992
100246,241502270400901,100000,zak. 22/1997
100246,241502270400901,100000,zak. 255/2012
100248,271508110504901,2000,zak. 22/1997
100250,241508110045502,1000,zak. 634/1992
100252,241508120045501,1000,zak. 634/1992
100253,271506230024601,1000,zak. 64/1986
100255,271508100016301,1000,Nař. 1007/2011
100257,271508100504901,1000,zak. 22/1997
100259,241508130405401,1000,zak. 102/2001
100259,241508130405401,1000,zak. 22/1997
100261,241508130405403,1000,zak. 102/2001
100261,241508130405403,1000,zak. 22/1997
100263,241508139405701,1000,zak. 634/1992
100265,241508130038701,1000,zak. 634/1992
100268,271506150024602,10000,zak. 22/1997
100268,271506150024602,10000,zak. 634/1992
100269,241503040400901,10000,zak. 634/1992
100270,221409130204901,10000,zak. 634/1992
100272,211508140153401,1000,zak. 634/1992
100273,271508120305001,1000,zak. 634/1992
100275,401508140013001,1000,zak. 634/1992
100277,211508140154002,3000,zak. 634/1992
100279,221508150253801,1000,zak. 634/1992
100281,221508150250201,1000,zak. 634/1992
100282,221508150253802,1000,zak. 64/1986
100284,401508150013002,1000,zak. 634/1992
100286,101508150038002,2000,zak. 634/1992
100288,211508110027301,1000,zak. 64/1986
100290,211508120027302,1000,zak. 634/1992
100292,211508130027302,1000,zak. 634/1992
100294,401508150558101,1000,zak. 634/1992
100296,211508140103501,1000,zak. 634/1992
100298,211508130153402,1000,zak. 64/1986
100300,211508130104402,1000,zak. 634/1992
100302,211508140104402,1000,zak. 634/1992
100304,221508110251301,3000,zak. 634/1992
100306,211508130105301,1000,zak. 634/1992
100308,211508120105301,2000,zak. 634/1992
100309,301506110042402,5000,zak. 634/1992
100310,301505070800101,8000,zak. 634/1992
100311,301506110807101,3000,zak. 634/1992
100312,301506130009002,2000,zak. 634/1992
100313,301506130009001,2000,zak. 634/1992
100314,301506110702101,2000,zak. 634/1992
100315,301506160009001,1500,zak. 634/1992
100316,301505140700401,5000,zak. 634/1992
100317,251503300033301,3000,zak. 634/1992
100319,101508140152801,1000,zak. 634/1992
100321,311508110024701,1000,zak. 634/1992
100322,251505250024302,10000,zak. 634/1992
100324,211508110015101,1000,zak. 634/1992
100326,211508120015101,1000,zak. 634/1992
100328,211508130015101,1000,zak. 634/1992
100330,211508140150701,1000,zak. 634/1992
100332,101508140041101,2000,zak. 634/1992
100334,271508100309501,2000,zak. 634/1992
100336,271508130309501,1000,zak. 634/1992
100338,401508140042003,1000,zak. 634/1992
100339,101410170009402,2000,zak. 634/1992
100340,301508129808901,2000,zak. 634/1992
100341,101410170009401,2000,zak. 634/1992
100342,301508119808901,1000,zak. 634/1992
100344,311508150550601,2000,zak. 634/1992
100346,311508110028901,1000,zak. 634/1992
100348,311508140044001,1000,zak. 634/1992
100349,101508120014902,2000,zak. 634/1992
100350,301508120800101,1000,zak. 634/1992
100351,101508120014901,2000,zak. 634/1992
100353,401508130011002,3000,zak. 634/1992
100355,211508120043801,1000,zak. 634/1992
100357,211508120043802,1000,zak. 634/1992
100359,211508130043801,1000,zak. 634/1992
100360,241501070405901,1000,zak. 634/1992
100361,101507240010201,2000,zak. 634/1992
100362,241501260405301,3000,zak. 634/1992
100364,241508170403801,2500,zak. 634/1992
100368,241508170403802,1000,zak. 634/1992
100371,221508170020901,1000,zak. 634/1992
100372,221508170020901,1000,zak. 22/1997
100373,101505189021302,1000,zak. 634/1992
100375,241508170028001,1000,zak. 634/1992
100377,271508170305001,1000,zak. 634/1992
100381,251508170054701,2000,zak. 634/1992
100382,271508040032703,500,zak. 634/1992
100384,401508180011001,1000,zak. 634/1992
100385,301505050809201,3000,zak. 634/1992
100386,301506110036101,2000,zak. 634/1992
100388,101508110046201,2000,zak. 634/1992
100390,101508110040102,1000,zak. 634/1992
100392,101508110046203,1000,zak. 634/1992
100393,101404170009401,10000,zak. 22/1997
100395,221508120253499,1000,zak. 102/2001
100397,221508120253498,1000,zak. 102/2001
100400,221508180253801,1000,zak. 634/1992
100401,221508180253801,3000,zak. 22/1997
100403,211508180009901,2000,zak. 634/1992
100405,101508180052801,1000,zak. 634/1992
100407,101508180041303,2000,zak. 634/1992
100409,211508180103502,1000,zak. 634/1992
100411,101508180041102,1000,zak. 634/1992
100413,241508180027901,4500,zak. 634/1992
100415,241508180038701,1000,zak. 634/1992
100416,271503180024601,8000,zak. 634/1992
100417,271503090504901,15000,zak. 22/1997
100418,271504080043001,10000,zak. 634/1992
100419,271504150309701,10000,zak. 634/1992
100420,271411260308701,20000,zak. 145/2010
100420,271411260308701,20000,zak. 634/1992
100422,211508180105302,1000,zak. 634/1992
100424,251508180041001,1000,zak. 634/1992
100426,211508180010301,1000,zak. 634/1992
100428,251508180041202,1000,zak. 634/1992
100430,211508120039001,2000,zak. 634/1992
100432,211508180039002,1000,zak. 634/1992
100433,251503270330101,10000,zak. 634/1992
100434,221405070020901,1500,zak. 634/1992
100435,271502020005102,30000,zak. 255/2012
100436,221411050023901,20000,Nař. 1007/2011
100436,221411050023901,20000,zak. 634/1992
100437,221411050023901,1000,zak. 22/1997
100440,101409171015203,3000,zak. 634/1992
100441,101409160958201,2000,zak. 634/1992
100442,101409180958201,2000,zak. 634/1992
100443,101409090912701,6000,zak. 634/1992
100444,101409260955501,5000,zak. 634/1992
100445,101409130027201,2000,zak. 634/1992
100446,101408260907602,6000,zak. 634/1992
100447,241501280038701,70000,zak. 634/1992
100447,241501280038701,70000,zak. 64/1986
100448,241503180405402,10000,zak. 634/1992
100449,101409120032501,3000,zak. 634/1992
100451,101409050032501,5000,zak. 634/1992
100452,221412010024001,8000,zak. 634/1992
100455,211508190151201,1000,zak. 634/1992
100458,271508190506501,1000,zak. 634/1992
100459,221412060020902,2500,zak. 634/1992
100460,221506240037201,2000,Nař. 1007/2011
100461,221409290253801,5000,zak. 634/1992
100462,221409260251101,5000,zak. 634/1992
100463,221410220016401,5000,zak. 634/1992
100464,221409250251101,5000,zak. 634/1992
100466,241508190405301,2000,zak. 634/1992
100468,211508190153401,1000,zak. 634/1992
100470,101508198603201,4000,zak. 22/1997
100472,251508190041201,1000,zak. 634/1992
100474,401508190013001,1000,zak. 22/1997
100476,101508190009501,2000,zak. 634/1992
100478,101508190009503,2000,zak. 634/1992
100480,101508190009502,2000,zak. 634/1992
100482,241508190028001,1000,zak. 22/1997
100484,211508190154001,1000,zak. 64/1986
100486,211508190009902,2000,zak. 634/1992
100488,251508190301301,2000,zak. 22/1997
100488,251508190301301,2000,zak. 634/1992
100490,221508190028701,1000,zak. 64/1986
100492,221508190028703,3000,zak. 634/1992
100494,101507160032505,3000,zak. 634/1992
100496,221508190024002,1000,zak. 634/1992
100497,101508180014902,2000,zak. 634/1992
100498,301506110012801,2000,zak. 634/1992
100499,301508190700401,2000,zak. 634/1992
100500,301507010703201,30000,zak. 634/1992
100507,301507160022201,100000,zak. 634/1992
100511,221508200205799,2000,zak. 634/1992
100515,271508180043902,1000,zak. 634/1992
100517,271508190043903,1000,Nař. 1007/2011
100520,271508170308701,500,zak. 634/1992
100522,271508170308702,500,zak. 634/1992
100524,271508190308701,500,zak. 634/1992
100525,311507240604701,4000,zak. 634/1992
100528,101507158105299,3000,Nař. 305/2011
100529,241503230038701,1000,zak. 634/1992
100530,241502030405301,3000,zak. 634/1992
100531,241502040405301,5000,zak. 634/1992
100533,221508200253402,2000,Nař. 1007/2011
100533,221508200253402,2000,zak. 634/1992
100535,271508200032701,1000,zak. 634/1992
100537,301508140808101,1000,zak. 634/1992
100538,241503260027901,15000,zak. 634/1992
